Product Name,Variation Name,Parent SKU,Product Type,Variation 1,Variation 2
Genshin Impact or Own Design / Personalize / Customize Mug,GI 8 Wangshu Inn,Mug,Mug,11 oz,white
Genshin Impact or Own Design / Personalize / Customize Mug,GI 5 Paimon,Mug,Mug,11 oz,white
Genshin Impact or Own Design / Personalize / Customize Mug,GI 2 Mondstadt,Mug,Mug,11 oz,white
Genshin Impact or Own Design / Personalize / Customize Mug,Msg. us your design,Mug,Mug,11 oz,white
Genshin Impact or Own Design / Personalize / Customize Mug,GI 15 - Qiqi,Mug,Mug,11 oz,white
Genshin Impact or Own Design / Personalize / Customize Mug,GI 7 Barbara,Mug,Mug,11 oz,white
Genshin Impact or Own Design / Personalize / Customize Mug,GI 6 Halloween,Mug,Mug,11 oz,white
Genshin Impact or Own Design / Personalize / Customize Mug,GI14 Honorary Knight,Mug,Mug,11 oz,white
Genshin Impact or Own Design / Personalize / Customize Mug,GI11 ChongyunXingqiu,Mug,Mug,11 oz,white
Genshin Impact or Own Design / Personalize / Customize Mug,GI 13 MondstadtGirls,Mug,Mug,11 oz,white
Genshin Impact or Own Design / Personalize / Customize Mug,GI 1 Favonius Knight,Mug,Mug,11 oz,white
Genshin Impact or Own Design / Personalize / Customize Mug,GI 3 Xiangling,Mug,Mug,11 oz,white
Genshin Impact or Own Design / Personalize / Customize Mug,GI 9 To Mondstadt,Mug,Mug,11 oz,white
Genshin Impact or Own Design / Personalize / Customize Mug,GI 10 Amber Jean,Mug,Mug,11 oz,white
Genshin Impact or Own Design / Personalize / Customize Mug,GI 12 Dvalin & Venti,Mug,Mug,11 oz,white
Genshin Impact or Own Design / Personalize / Customize Mug,GI 4 Klee,Mug,Mug,11 oz,white
Random Mousepad / Desk Mat,70x30 Black Edge,Mug,Mousepad,70x30,black
Kitsune's dream - Genshin Impact Gaming Long / Extended Mouse Mat / Pad,80x30cm,Chebi Creations,Mousepad,80x30,white
Kitsune's dream - Genshin Impact Gaming Long / Extended Mouse Mat / Pad,70x40cm,Chebi Creations,Mousepad,70x40,white
Kitsune's dream - Genshin Impact Gaming Long / Extended Mouse Mat / Pad,80x40cm,Chebi Creations,Mousepad,80x40,white
